img_id,Sample,Image,Name,Image Name,expo_id,Country,Group,Class,Class Description,Granular Location - Map,Palace Gallery Section,Palace Gallery Section Name,Area,Locale Type,Critical Theme,Topical Theme,People,Animal,Animal Type,Plant,Plant Type,Sound,Sound Type,Prize,Prize Type,Material,Creator,Image Framing,Image Materiality,Text-in-Frame,Text-in-Image,Associated Excerpt(s),Excerpt Image ,Excerpted Source(s),Source File(s),Associated Image(s),Links,Comments,Medium,Author,Approx Orig Resolution,Collection
631,to complete,,FRDAFAN81_OF12v1279_A,,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000x1000,Archives Nationales
644,to complete,,FRDAFAN81_OF12v1311_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000x1000,Archives Nationales
645,to complete,,FRDAFAN81_OF12v1312_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000x1000,Archives Nationales
649,to complete,,FRDAFAN81_OF12v1316_A,,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000x1000,Archives Nationales
656,to complete,,FRDAFAN81_OF12v1324_A,,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000x1000,Archives Nationales
658,to complete,,FRDAFAN81_OF12v1327_A,,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000x1000,Archives Nationales
661,to complete,,FRDAFAN81_OF12v1330_A,,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000x1000,Archives Nationales
848,to complete,,FRDAFAN81_OF12v1622_A,,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000x1000,Archives Nationales
862,to complete,,FRDAFAN81_OF12v1638_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000x1000,Archives Nationales
865,to complete,,FRDAFAN81_OF12v1642_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000x1000,Archives Nationales
866,to complete,,FRDAFAN81_OF12v1643_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000x1000,Archives Nationales
871,to complete,,FRDAFAN81_OF12v1649_A,,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000x1000,Archives Nationales
880,to complete,,FRDAFAN81_OF12v1658_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000x1000,Archives Nationales
889,to complete,,FRDAFAN81_OF12v1674_A,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000x1000,Archives Nationales
905,to complete,,FRDAFAN81_OF12v1694_A,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000x1000,Archives Nationales
919,to complete,,FRDAFAN81_OF12v1723_A,,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000x1000,Archives Nationales
1000,to complete,,FRDAFAN81_OF12v1833_A,,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000x1000,Archives Nationales
1004,to complete,,AC0725-0000004,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smithsonian Institute
1022,to complete,,AC0725-0000022,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smithsonian Institute
1027,to complete,,Grotto,,8004,Jardin d'Horticulture,,,,,,,Parc,,,,,,,,,,,,,,,,,,,,,,,,,,"Architecture, Interior",Leon & Levy,"7,500x3,501",Getty Foundation
1032,to complete,,Swedish Ship,,8019,Sweden,,,,,,,"Palaise,Industrial Gallery",,,,,,,,,,,,,,,,,,,,,,,,,,"Ships, Industry",Leon & Levy,"7,500x3,506",Getty Foundation
1077,to complete,,N279 - Vue à vol d'oiseau du Palais,,279,Expo,,,,,,,Parc,,,,,,,,,,,,,,,,,,,,,,,,,,"Architecture, Landscape, Expo",Leon & Levy,8000x4001,Bibliotheque National de France
1082,to complete,,N348 - Galerie des Etats d'Amérique du Sud,,348,South America (?),,,,,,,Palaise,,,,,,,,,,,,,,,,,,,,,,,,,,"Sculpture, Photographs, Colonial",Leon & Levy,8000x4031,Bibliotheque National de France
1088,to complete,,N382 - Panorama du Parc et du Palais,,382,Expo,,,,,,,Parc,,,,,,,,,,,,,,,,,,,,,,,,,,"Architecture, Landscape",Leon & Levy,8000x4014,Bibliotheque National de France
1091,to complete,,N435 - Costumes guerriers Japonais,,435,Japan,,,,,,,Palaise,,,,,,,,,,,,,,,,,,,,,,,,,,Costumes,Leon & Levy,8000x4040,Bibliotheque National de France
1108,to complete,,"N622 - Vue Générale du Parc, prise du Cercle international",,622,Expo,,,,,,,Parc,,,,,,,,,,,,,,,,,,,,,,,,,,"Architecture, Landscape, Expo",Leon & Levy,8000x4001,Bibliotheque National de France
16,yes,image.png (https://v5.airtableusercontent.com/v3/u/29/29/1716156000000/RJqpkUAZvHhpWLzPId4CsQ/XJ2djoYcSWTBS6d3PaYwRbAJrj0vuWO-0MXEZZbCiYlBis-FsZe-003672c9Hx8lHNOtHCmvDUBdkYvKZX1Ko2f9gznGmPLD1kHxz03loSWC94aqsLfD6-ItB8H5aLyYdJA3Hg7SIzsaqacVuTCWsg/ZlgQscyibEex-1FwG0kU7xdn-s2QMSLobWw1UNMiPac),"313. - Parfumerie, Section Française.",Botot Perfume,313,France,Group 3. Furniture and Other Objects for the Use of Dwellings.,Class 25. Perfumery.,"Class 25. (Palace Gallery 3.) Perfumery. Cosmetics and pomatums, perfumed oils, perfumed essences, liquid extracts, scents, aromatic vinegars, almond paste, powders, pastilles and perfumed sacks, combustible perfumes, toilette soaps.",,Palace Gallery 3,Galerie III du Mobilier,Palace,Country Section,"Consumerism,Gender - Femininity",Existing Company,,,,,,,,,,Liquid,Botot,,Albumen Print,"Parfumerie, Section Française.",Botot,,,,,,,,"Painting,Sculpture,Perfume",Leon & Levy,7100,François Brunet
